key	en_us	non_is	note
death.attack.sonic_boom.player	%1$s was obliterated by a sonically-charged shriek whilst trying to escape %2$s	%1$s was obliterated by a sonically-charged shriek whilst trying to escape %2$s	review needed
death.attack.spear	death.attack.spear	death.attack.spear	review needed
death.attack.spear.item	death.attack.spear.item	death.attack.spear.item	review needed
death.attack.stalagmite	%1$s was impaled on a stalagmite	%1$s was impaled on a stalagmite	review needed
death.attack.stalagmite.player	%1$s was impaled on a stalagmite whilst fighting %2$s	%1$s was impaled on a stalagmite whilst fighting %2$s	review needed
death.attack.starve	%1$s starved to death	%1$s starved to death	review needed
death.attack.starve.player	%1$s starved to death whilst fighting %2$s	%1$s starved to death whilst fighting %2$s	review needed
death.attack.sting	%1$s was stung to death	%1$s was stung to death	review needed
death.attack.sting.item	%1$s was stung to death by %2$s using %3$s	%1$s was stung to death by %2$s using %3$s	review needed
death.attack.sting.player	%1$s was stung to death by %2$s	%1$s was stung to death by %2$s	review needed
death.attack.sweetBerryBush	%1$s was poked to death by a sweet berry bush	%1$s was poked to death by a sweet berry bush	review needed
death.attack.sweetBerryBush.player	%1$s was poked to death by a sweet berry bush whilst trying to escape %2$s	%1$s was poked to death by a sweet berry bush whilst trying to escape %2$s	review needed
death.attack.thorns	%1$s was killed trying to hurt %2$s	%1$s was killed trying to hurt %2$s	review needed
death.attack.thorns.item	%1$s was killed by %3$s trying to hurt %2$s	%1$s was killed by %3$s trying to hurt %2$s	review needed
death.attack.thrown	%1$s was pummeled by %2$s	%1$s was pummeled by %2$s	review needed
death.attack.thrown.item	%1$s was pummeled by %2$s using %3$s	%1$s was pummeled by %2$s using %3$s	review needed
death.attack.trident	%1$s was impaled by %2$s	%1$s was impaled by %2$s	review needed
death.attack.trident.item	%1$s was impaled by %2$s with %3$s	%1$s was impaled by %2$s with %3$s	review needed
death.attack.wither	%1$s withered away	%1$s withered away	review needed
death.attack.wither.player	%1$s withered away whilst fighting %2$s	%1$s withered away whilst fighting %2$s	review needed
death.attack.witherSkull	%1$s was shot by a skull from %2$s	%1$s was shot by a skull from %2$s	review needed
death.attack.witherSkull.item	%1$s was shot by a skull from %2$s using %3$s	%1$s was shot by a skull from %2$s using %3$s	review needed
death.fell.accident.generic	%1$s fell from a high place	%1$s fell from a high place	review needed
death.fell.accident.ladder	%1$s fell off a ladder	%1$s fell off a ladder	review needed
death.fell.accident.other_climbable	%1$s fell while climbing	%1$s fell while climbing	review needed
death.fell.accident.scaffolding	%1$s fell off scaffolding	%1$s fell off scaffolding	review needed
death.fell.accident.twisting_vines	%1$s fell off some twisting vines	%1$s fell off some twisting vines	review needed
death.fell.accident.vines	%1$s fell off some vines	%1$s fell off some vines	review needed
death.fell.accident.weeping_vines	%1$s fell off some weeping vines	%1$s fell off some weeping vines	review needed
death.fell.assist	%1$s was doomed to fall by %2$s	%1$s was doomed to fall by %2$s	review needed
death.fell.assist.item	%1$s was doomed to fall by %2$s using %3$s	%1$s was doomed to fall by %2$s using %3$s	review needed
death.fell.finish	%1$s fell too far and was finished by %2$s	%1$s fell too far and was finished by %2$s	review needed
death.fell.finish.item	%1$s fell too far and was finished by %2$s using %3$s	%1$s fell too far and was finished by %2$s using %3$s	review needed
death.fell.killer	%1$s was doomed to fall	%1$s was doomed to fall	review needed
deathScreen.quit.confirm	Are you sure you want to quit?	Are you sure you want to quit?	review needed
deathScreen.score.value	deathScreen.score.value	deathScreen.score.value	review needed
deathScreen.spectate	Spectate World	Spectate World	review needed
deathScreen.title.hardcore	Game Over!	Game Over!	review needed
debug.advanced_tooltips.help	F3 + H = Advanced tooltips	F3 + H = Advanced tooltips	review needed
debug.advanced_tooltips.off	Advanced tooltips: hidden	Advanced tooltips: hidden	review needed
debug.advanced_tooltips.on	Advanced tooltips: shown	Advanced tooltips: shown	review needed
debug.chunk_boundaries.help	F3 + G = Show chunk boundaries	F3 + G = Show chunk boundaries	review needed
debug.chunk_boundaries.off	Chunk borders: hidden	Chunk borders: hidden	review needed
debug.chunk_boundaries.on	Chunk borders: shown	Chunk borders: shown	review needed
debug.clear_chat.help	F3 + D = Clear chat	F3 + D = Clear chat	review needed
debug.copy_location.help	F3 + C = Copy location as /tp command, hold F3 + C to crash the game	F3 + C = Copy location as /tp command, hold F3 + C to crash the game	review needed
debug.copy_location.message	Copied location to clipboard	Copied location to clipboard	review needed
debug.crash.message	F3 + C is held down. This will crash the game unless released.	F3 + C is held down. This will crash the game unless released.	review needed
debug.crash.message.rebindable	debug.crash.message.rebindable	debug.crash.message.rebindable	review needed
debug.crash.warning	Crashing in %s...	Crashing in %s...	review needed
debug.creative_spectator.error	Unable to switch game mode; no permission	Unable to switch game mode; no permission	review needed
debug.creative_spectator.help	F3 + N = Cycle previous game mode <-> spectator	F3 + N = Cycle previous game mode <-> spectator	review needed
debug.dump_dynamic_textures	Saved dynamic textures to %s	Saved dynamic textures to %s	review needed
debug.dump_dynamic_textures.help	F3 + S = Dump dynamic textures	F3 + S = Dump dynamic textures	review needed
debug.entry.always	debug.entry.always	debug.entry.always	review needed
debug.entry.currently.alwaysOn	debug.entry.currently.alwaysOn	debug.entry.currently.alwaysOn	review needed
debug.entry.currently.inF3	debug.entry.currently.inF3	debug.entry.currently.inF3	review needed
debug.entry.currently.inOverlay	debug.entry.currently.inOverlay	debug.entry.currently.inOverlay	review needed
debug.entry.currently.never	debug.entry.currently.never	debug.entry.currently.never	review needed
debug.entry.f3	debug.entry.f3	debug.entry.f3	review needed
debug.entry.overlay	debug.entry.overlay	debug.entry.overlay	review needed
debug.gamemodes.error	Unable to open game mode switcher; no permission	Unable to open game mode switcher; no permission	review needed
debug.gamemodes.help	F3 + F4 = Open game mode switcher	F3 + F4 = Open game mode switcher	review needed
debug.gamemodes.press_f4	[ F4 ]	[ F4 ]	review needed
debug.gamemodes.select_next	%s Next	%s Next	review needed
debug.help.help	F3 + Q = Show this list	F3 + Q = Show this list	review needed
debug.help.message	Key bindings:	Key bindings:	review needed
debug.inspect.client.block	Copied client-side block data to clipboard	Copied client-side block data to clipboard	review needed
debug.inspect.client.entity	Copied client-side entity data to clipboard	Copied client-side entity data to clipboard	review needed
debug.inspect.help	F3 + I = Copy entity or block data to clipboard	F3 + I = Copy entity or block data to clipboard	review needed
debug.inspect.server.block	Copied server-side block data to clipboard	Copied server-side block data to clipboard	review needed
debug.inspect.server.entity	Copied server-side entity data to clipboard	Copied server-side entity data to clipboard	review needed
debug.options.category.renderer	debug.options.category.renderer	debug.options.category.renderer	review needed
debug.options.category.text	debug.options.category.text	debug.options.category.text	review needed
debug.options.help	debug.options.help	debug.options.help	review needed
debug.options.notAllowed.tooltip	debug.options.notAllowed.tooltip	debug.options.notAllowed.tooltip	review needed
debug.options.profile.default	debug.options.profile.default	debug.options.profile.default	review needed
debug.options.profile.performance	debug.options.profile.performance	debug.options.profile.performance	review needed
debug.options.search	debug.options.search	debug.options.search	review needed
debug.options.title	debug.options.title	debug.options.title	review needed
debug.options.warning	debug.options.warning	debug.options.warning	review needed
debug.pause.help	F3 + Esc = Pause without pause menu (if pausing is possible)	F3 + Esc = Pause without pause menu (if pausing is possible)	review needed
debug.pause_focus.help	F3 + P = Pause on lost focus	F3 + P = Pause on lost focus	review needed
debug.pause_focus.off	Pause on lost focus: disabled	Pause on lost focus: disabled	review needed
debug.pause_focus.on	Pause on lost focus: enabled	Pause on lost focus: enabled	review needed
debug.prefix	[Debug]:	[Debug]:	review needed
debug.profiling.help	F3 + L = Start/stop profiling	F3 + L = Start/stop profiling	review needed
debug.profiling.start	Profiling started for %s seconds. Use F3 + L to stop early	Profiling started for %s seconds. Use F3 + L to stop early	review needed
debug.profiling.start.rebindable	debug.profiling.start.rebindable	debug.profiling.start.rebindable	review needed
