key	en_us	ang	note
minecraft.packet.block.minecraft.waxed_exposed_cut_copper	Waxed Exposed Cut Copper	Waxed Exposed Cut Copper	review needed
minecraft.packet.block.minecraft.waxed_exposed_cut_copper_slab	Waxed Exposed Cut Copper Slab	Waxed Exposed Cut Copper Slab	review needed
minecraft.packet.block.minecraft.waxed_exposed_cut_copper_stairs	Waxed Exposed Cut Copper Stairs	Waxed Exposed Cut Copper Stairs	review needed
minecraft.packet.block.minecraft.waxed_oxidized_copper	Waxed Oxidized Copper	Waxed Oxidized Copper	review needed
minecraft.packet.block.minecraft.waxed_oxidized_cut_copper	Waxed Oxidized Cut Copper	Waxed Oxidized Cut Copper	review needed
minecraft.packet.block.minecraft.waxed_oxidized_cut_copper_slab	Waxed Oxidized Cut Copper Slab	Waxed Oxidized Cut Copper Slab	review needed
minecraft.packet.block.minecraft.waxed_oxidized_cut_copper_stairs	Waxed Oxidized Cut Copper Stairs	Waxed Oxidized Cut Copper Stairs	review needed
minecraft.packet.block.minecraft.waxed_weathered_copper	Waxed Weathered Copper	Waxed Weathered Copper	review needed
minecraft.packet.block.minecraft.waxed_weathered_cut_copper	Waxed Weathered Cut Copper	Waxed Weathered Cut Copper	review needed
minecraft.packet.block.minecraft.waxed_weathered_cut_copper_slab	Waxed Weathered Cut Copper Slab	Waxed Weathered Cut Copper Slab	review needed
minecraft.packet.block.minecraft.waxed_weathered_cut_copper_stairs	Waxed Weathered Cut Copper Stairs	Waxed Weathered Cut Copper Stairs	review needed
minecraft.packet.block.minecraft.weathered_copper	Weathered Copper	Weathered Copper	review needed
minecraft.packet.block.minecraft.weathered_cut_copper	Weathered Cut Copper	Weathered Cut Copper	review needed
minecraft.packet.block.minecraft.weathered_cut_copper_slab	Weathered Cut Copper Slab	Weathered Cut Copper Slab	review needed
minecraft.packet.block.minecraft.weathered_cut_copper_stairs	Weathered Cut Copper Stairs	Weathered Cut Copper Stairs	review needed
minecraft.packet.block.minecraft.weeping_vines	Weeping Vines	Weeping Vines	review needed
minecraft.packet.block.minecraft.weeping_vines_plant	Weeping Vines Plant	Weeping Vines Plant	review needed
minecraft.packet.block.minecraft.wet_sponge	Wet Sponge	Wet Sponge	review needed
minecraft.packet.block.minecraft.wheat	Wheat Crops	Wheat Crops	review needed
minecraft.packet.block.minecraft.white_banner	White Banner	White Banner	review needed
minecraft.packet.block.minecraft.white_bed	White Bed	White Bed	review needed
minecraft.packet.block.minecraft.white_candle	White Candle	White Candle	review needed
minecraft.packet.block.minecraft.white_candle_cake	Cake with White Candle	Cake with White Candle	review needed
minecraft.packet.block.minecraft.white_carpet	White Carpet	White Carpet	review needed
minecraft.packet.block.minecraft.white_concrete	White Concrete	White Concrete	review needed
minecraft.packet.block.minecraft.white_concrete_powder	White Concrete Powder	White Concrete Powder	review needed
minecraft.packet.block.minecraft.white_glazed_terracotta	White Glazed Terracotta	White Glazed Terracotta	review needed
minecraft.packet.block.minecraft.white_shulker_box	White Shulker Box	White Shulker Box	review needed
minecraft.packet.block.minecraft.white_stained_glass	White Stained Glass	White Stained Glass	review needed
minecraft.packet.block.minecraft.white_stained_glass_pane	White Stained Glass Pane	White Stained Glass Pane	review needed
minecraft.packet.block.minecraft.white_terracotta	White Terracotta	White Terracotta	review needed
minecraft.packet.block.minecraft.white_tulip	White Tulip	White Tulip	review needed
minecraft.packet.block.minecraft.white_wool	White Wool	White Wool	review needed
minecraft.packet.block.minecraft.wither_rose	Wither Rose	Wither Rose	review needed
minecraft.packet.block.minecraft.wither_skeleton_skull	Wither Skeleton Skull	Wither Skeleton Skull	review needed
minecraft.packet.block.minecraft.wither_skeleton_wall_skull	Wither Skeleton Wall Skull	Wither Skeleton Wall Skull	review needed
minecraft.packet.block.minecraft.yellow_banner	Yellow Banner	Yellow Banner	review needed
minecraft.packet.block.minecraft.yellow_bed	Yellow Bed	Yellow Bed	review needed
minecraft.packet.block.minecraft.yellow_candle	Yellow Candle	Yellow Candle	review needed
minecraft.packet.block.minecraft.yellow_candle_cake	Cake with Yellow Candle	Cake with Yellow Candle	review needed
minecraft.packet.block.minecraft.yellow_carpet	Yellow Carpet	Yellow Carpet	review needed
minecraft.packet.block.minecraft.yellow_concrete	Yellow Concrete	Yellow Concrete	review needed
minecraft.packet.block.minecraft.yellow_concrete_powder	Yellow Concrete Powder	Yellow Concrete Powder	review needed
minecraft.packet.block.minecraft.yellow_glazed_terracotta	Yellow Glazed Terracotta	Yellow Glazed Terracotta	review needed
minecraft.packet.block.minecraft.yellow_shulker_box	Yellow Shulker Box	Yellow Shulker Box	review needed
minecraft.packet.block.minecraft.yellow_stained_glass	Yellow Stained Glass	Yellow Stained Glass	review needed
minecraft.packet.block.minecraft.yellow_stained_glass_pane	Yellow Stained Glass Pane	Yellow Stained Glass Pane	review needed
minecraft.packet.block.minecraft.yellow_terracotta	Yellow Terracotta	Yellow Terracotta	review needed
minecraft.packet.block.minecraft.yellow_wool	Yellow Wool	Yellow Wool	review needed
minecraft.packet.block.minecraft.zombie_head	Zombie Head	Zombie Head	review needed
minecraft.packet.block.minecraft.zombie_wall_head	Zombie Wall Head	Zombie Wall Head	review needed
minecraft.packet.build.tooHigh	Height limit for building is %s	Height limit for building is %s	review needed
minecraft.packet.chat.cannotSend	Cannot send chat message	Cannot send chat message	review needed
minecraft.packet.chat.coordinates._value	%s, %s, %s	%s, %s, %s	review needed
minecraft.packet.chat.coordinates.tooltip	Click to teleport	Click to teleport	review needed
minecraft.packet.chat.copy._value	Copy to Clipboard	Copy to Clipboard	review needed
minecraft.packet.chat.copy.click	Click to Copy to Clipboard	Click to Copy to Clipboard	review needed
minecraft.packet.chat.deleted_marker	This chat message has been deleted by the server.	This chat message has been deleted by the server.	review needed
minecraft.packet.chat.disabled.chain_broken	Chat disabled due to broken chain. Please try reconnecting.	Chat disabled due to broken chain. Please try reconnecting.	review needed
minecraft.packet.chat.disabled.expiredProfileKey	Chat disabled due to expired profile public key. Please try reconnecting.	Chat disabled due to expired profile public key. Please try reconnecting.	review needed
minecraft.packet.chat.disabled.launcher	Chat disabled by launcher option. Cannot send message.	Chat disabled by launcher option. Cannot send message.	review needed
minecraft.packet.chat.disabled.missingProfileKey	Chat disabled due to missing profile public key. Please try reconnecting.	Chat disabled due to missing profile public key. Please try reconnecting.	review needed
minecraft.packet.chat.disabled.options	Chat disabled in client options.	Chat disabled in client options.	review needed
minecraft.packet.chat.disabled.profile._value	Chat not allowed by account settings. Press '%s' again for more information.	Chat not allowed by account settings. Press '%s' again for more information.	review needed
minecraft.packet.chat.disabled.profile.moreInfo	Chat not allowed by account settings. Cannot send or view messages.	Chat not allowed by account settings. Cannot send or view messages.	review needed
minecraft.packet.chat.editBox	chat	chat	review needed
minecraft.packet.chat.filtered	Filtered by the server.	Filtered by the server.	review needed
minecraft.packet.chat.filtered_full	The server has hidden your message for some players.	The server has hidden your message for some players.	review needed
minecraft.packet.chat.link.confirm	Are you sure you want to open the following website?	Are you sure you want to open the following website?	review needed
minecraft.packet.chat.link.confirmTrusted	Do you want to open this link or copy it to your clipboard?	Do you want to open this link or copy it to your clipboard?	review needed
minecraft.packet.chat.link.open	Open in Browser	Open in Browser	review needed
minecraft.packet.chat.link.warning	Never open links from people that you don't trust!	Never open links from people that you don't trust!	review needed
minecraft.packet.chat.queue	[+%s pending lines]	[+%s pending lines]	review needed
minecraft.packet.chat.square_brackets	[%s]	[%s]	review needed
minecraft.packet.chat.tag.modified	Message modified by the server. Original:	Message modified by the server. Original:	review needed
minecraft.packet.chat.tag.not_secure	Unverified message. Cannot be reported.	Unverified message. Cannot be reported.	review needed
minecraft.packet.chat.tag.system	Server message. Cannot be reported.	Server message. Cannot be reported.	review needed
minecraft.packet.chat.tag.system_single_player	Server message.	Server message.	review needed
minecraft.packet.chat.type.admin	[{arg0}: {arg1}]	[{arg0}: {arg1}]	review needed
minecraft.packet.chat.type.advancement.challenge	%s has completed the challenge %s	%s has completed the challenge %s	review needed
minecraft.packet.chat.type.advancement.goal	%s has reached the goal %s	%s has reached the goal %s	review needed
minecraft.packet.chat.type.advancement.task	%s has made the advancement %s	%s has made the advancement %s	review needed
minecraft.packet.chat.type.announcement	[%s] %s	[%s] %s	review needed
minecraft.packet.chat.type.emote	* %s %s	* %s %s	review needed
minecraft.packet.chat.type.team.hover	Message Team	Message Team	review needed
minecraft.packet.chat.type.team.sent	-> %s <%s> %s	-> %s <%s> %s	review needed
minecraft.packet.chat.type.team.text	%s <%s> %s	%s <%s> %s	review needed
minecraft.packet.chat.type.text._value	<%s> %s	<%s> %s	review needed
minecraft.packet.chat.type.text.narrate	%s says %s	%s says %s	review needed
minecraft.packet.chat_screen.message	Message to send: %s	Message to send: %s	review needed
minecraft.packet.chat_screen.title	Chat screen	Chat screen	review needed
minecraft.packet.chat_screen.usage	Input message and press Enter to send	Input message and press Enter to send	review needed
minecraft.packet.clear.failed.multiple	No items were found on %s players	No items were found on %s players	review needed
minecraft.packet.clear.failed.single	No items were found on player %s	No items were found on player %s	review needed
minecraft.packet.color.minecraft.black	Black	Black	review needed
minecraft.packet.color.minecraft.blue	Blue	Blue	review needed
minecraft.packet.color.minecraft.brown	Brown	Brown	review needed
minecraft.packet.color.minecraft.cyan	Cyan	Cyan	review needed
minecraft.packet.color.minecraft.gray	Gray	Gray	review needed
minecraft.packet.color.minecraft.green	Green	Green	review needed
minecraft.packet.color.minecraft.light_blue	Light Blue	Light Blue	review needed
minecraft.packet.color.minecraft.light_gray	Light Gray	Light Gray	review needed
minecraft.packet.color.minecraft.lime	Lime	Lime	review needed
minecraft.packet.color.minecraft.magenta	Magenta	Magenta	review needed
minecraft.packet.color.minecraft.orange	Orange	Orange	review needed
minecraft.packet.color.minecraft.pink	Pink	Pink	review needed
minecraft.packet.color.minecraft.purple	Purple	Purple	review needed
minecraft.packet.color.minecraft.red	Red	Red	review needed
minecraft.packet.color.minecraft.white	White	White	review needed
minecraft.packet.color.minecraft.yellow	Yellow	Yellow	review needed
minecraft.packet.command.context.here	<--[HERE]	<--[HERE]	review needed
minecraft.packet.command.unknown.command	Unknown or incomplete command. See below for error.	Unknown or incomplete command. See below for error.	review needed
minecraft.packet.commands.advancement.advancementNotFound	No advancement was found by the name '%1$s'	No advancement was found by the name '%1$s'	review needed
minecraft.packet.commands.advancement.criterionNotFound	The advancement %1$s does not contain the criterion '%2$s'	The advancement %1$s does not contain the criterion '%2$s'	review needed
minecraft.packet.commands.advancement.grant.criterion.to.many.failure	Couldn't grant criterion '%s' of advancement %s to %s players as they already have it	Couldn't grant criterion '%s' of advancement %s to %s players as they already have it	review needed
minecraft.packet.commands.advancement.grant.criterion.to.many.success	Granted criterion '%s' of advancement %s to %s players	Granted criterion '%s' of advancement %s to %s players	review needed
minecraft.packet.commands.advancement.grant.criterion.to.one.failure	Couldn't grant criterion '%s' of advancement %s to %s as they already have it	Couldn't grant criterion '%s' of advancement %s to %s as they already have it	review needed
minecraft.packet.commands.advancement.grant.criterion.to.one.success	Granted criterion '%s' of advancement %s to %s	Granted criterion '%s' of advancement %s to %s	review needed
minecraft.packet.commands.advancement.grant.many.to.many.failure	Couldn't grant %s advancements to %s players as they already have them	Couldn't grant %s advancements to %s players as they already have them	review needed
minecraft.packet.commands.advancement.grant.many.to.many.success	Granted %s advancements to %s players	Granted %s advancements to %s players	review needed
minecraft.packet.commands.advancement.grant.many.to.one.failure	Couldn't grant %s advancements to %s as they already have them	Couldn't grant %s advancements to %s as they already have them	review needed
minecraft.packet.commands.advancement.grant.many.to.one.success	Granted %s advancements to %s	Granted %s advancements to %s	review needed
minecraft.packet.commands.advancement.grant.one.to.many.failure	Couldn't grant advancement %s to %s players as they already have it	Couldn't grant advancement %s to %s players as they already have it	review needed
minecraft.packet.commands.advancement.grant.one.to.many.success	Granted the advancement %s to %s players	Granted the advancement %s to %s players	review needed
minecraft.packet.commands.advancement.grant.one.to.one.failure	Couldn't grant advancement %s to %s as they already have it	Couldn't grant advancement %s to %s as they already have it	review needed
minecraft.packet.commands.advancement.grant.one.to.one.success	Granted the advancement %s to %s	Granted the advancement %s to %s	review needed
minecraft.packet.commands.advancement.revoke.criterion.to.many.failure	Couldn't revoke criterion '%s' of advancement %s from %s players as they don't have it	Couldn't revoke criterion '%s' of advancement %s from %s players as they don't have it	review needed
minecraft.packet.commands.advancement.revoke.criterion.to.many.success	Revoked criterion '%s' of advancement %s from %s players	Revoked criterion '%s' of advancement %s from %s players	review needed
minecraft.packet.commands.advancement.revoke.criterion.to.one.failure	Couldn't revoke criterion '%s' of advancement %s from %s as they don't have it	Couldn't revoke criterion '%s' of advancement %s from %s as they don't have it	review needed
minecraft.packet.commands.advancement.revoke.criterion.to.one.success	Revoked criterion '%s' of advancement %s from %s	Revoked criterion '%s' of advancement %s from %s	review needed
